line_no,name,building_type,start_dynasty,start_year,century,century_num,province,address,start_time_confidence,建筑结构体系_terms,建筑材料_terms,建筑功能_terms,营造技艺_terms,建筑空间布局_terms,material_categories
140,丁村民宅,民居,明,1593,16世纪,16,山西省,山西省襄汾县,0.96,四合院;单体四合院;二进四合院,木材;砖石,正厅;厢房;绣楼;观景楼;民俗博物馆,抬梁式构架;木雕装饰;砖雕工艺,四合院格局;北中南三组群;疏密均匀;错落有致,木材类;石材类;砖瓦类
141,潜口民宅,民居,明,1368,14世纪,14,安徽省,安徽省歙县,0.85,抬梁式;穿斗式,砖石;木材,民宅;祠堂;路亭;石牌坊,原貌复建;拆迁重建,传统村落布局;顺地势布局;单体建筑式样,木材类;石材类;砖瓦类
142,东阳卢宅,民居,宋,1421,15世纪,15,浙江省,浙江省东阳县,0.85,抬梁式木构架;穿斗式木构架,木材;木雕,家族聚居;宗祠功能,木雕工艺;九进厅堂营造,轴线对称;多进院落;宗支建筑群;纵深布局,木材类
143,祥集弄民宅,民居,明,1465,15世纪,15,江西省,江西省景德镇市,0.95,穿斗式;抬梁式;木构架;五架穿斗式;穿斗抬梁混合式,木材;石雕,江南城镇民宅;民居建筑,石雕装饰;构件纹饰,天井;四正两厢;上堂下堂;后房,木材类;石材类
144,崇礼住宅,民居,清,1875,19世纪,19,北京市,北京市东城区（东四六条63－65号四合院）,0.9,抬梁式;木构架,木材;砖石,住宅;花园;宿舍,装饰精美;布局严谨,三路院落;南北轴线;围院结构;院落贯通,木材类;石材类;砖瓦类
145,牟氏庄园,民居,清,1723,18世纪,18,山东省,山东省栖霞县,0.98,套院式;四合院;多重院落,木材;砖石;生土,家宅;私塾;耕读空间,抬梁式;穿斗式;糯米灰浆,套院式布局;三组六院;四至六进,土类;木材类;石材类;砖瓦类
148,十笏园,民居,清,1885,19世纪,19,山东省,山东省潍坊市,0.95,木构架;院落式,假山石;木材;砖石,私家园林;文化收藏;影视取景,叠石理水;小中见大;借景,紧凑布局;庭院组合;山水点景;小中见大,木材类;石材类;砖瓦类
149,罗布林卡,宫殿,清,1740,18世纪,18,西藏自治区,西藏自治区拉萨市,0.96,歇山博脊挑角;汉式金顶;石墙贝玛草顶,方石;贝玛草;黄釉,夏宫;宗教法事场所;行政办公场所,汉式亭台楼阁;唐卡装饰;壁画彩绘,多组院落群;湖心亭布局;主体建筑群分区,石材类
150,何园,民居,清,1862,19世纪,19,江苏省,江苏省扬州市,0.98,双层折廊;复廊;楼廊,石材;砖石,住宅园林;祠堂;后花园;园居院落,叠山;假山造景;片石叠山,前宅后园;双层廊分划;复廊通全园,石材类;砖瓦类
151,个园,民居,明,1818,19世纪,19,江苏省,江苏省扬州市,0.85,前宅后院;江南私家园林结构,压舱石;假山石,盐商园林;名园,四季假山;石垒造景,庭院楼阁布局;围院结构;南北轴线布局,石材类
213,旅顺监狱旧址,官府,清,1902,20世纪,20,辽宁省,辽宁省大连市,0.98,三叉形布局;双层牢房楼;铁网监视结构,红砖;青砖;砖砌围墙,牢房;刑讯室;绞刑室;监狱工厂;教诲室,砖砌工艺,大字形布局;西南入口布局;分区功能布局;东部工厂区,砖瓦类
217,龙脑桥,桥梁,明,1378,14世纪,14,四川省,四川省泸县,0.95,石质梁桥;梁桥结构,石材;石料,交通桥梁;跨河桥,石雕工艺;瑞兽雕刻;迎水雕饰,多墩梁式布局;对称墩位布置;中轴石梁架设,石材类
253,姬氏民居,民居,元,1294,13世纪,13,山西省,山西省高平市,0.98,彻上露明造;四椽栿;单檐悬山顶;三柱式,砂岩;砂石柱;素面覆盆式柱础,民居;住宅,四铺作单抄计心造;麻叶形耍头;隐刻泥道慢栱;收分侧角,坐北朝南;面阔三间;进深六椽;矩形平面,石材类
255,绛州大堂,官府,唐,1271,13世纪,13,山西省,山西省新绛县,0.95,减柱造;大额式结构;单檐歇山顶;八椽进深;面阔七间,古朴木材;覆盆式莲花柱础,州署正堂;帅正堂;官署办公场所,减柱造;大额式结构;五铺作双下昂;重栱计心造,坐北朝南;面阔七间;进深八椽;前抱厦三间,木材类
257,霍州州署大堂,官府,元,1304,14世纪,14,山西省,山西省霍州市,0.95,单檐歇山顶;六椽栿对乳栿;通檐用三柱;抬梁式,自然材;木材,衙署主堂;政权机构遗存,山西元代地方手法;粗加工营造,中轴对称布局;月台高起;坐北朝南,木材类
268,北京鼓楼、钟楼,官府,元,1272,13世纪,13,北京市,北京市东城区,0.99,砖石结构;无梁式券洞;三重檐歇山顶;台基结构,灰筒瓦;绿琉璃剪边;黑琉璃瓦;砖石,报时建筑;定更设施;公共文化空间,单昂单翘五踩斗栱;旋子彩画;砖雕仿木;无梁券洞砌筑,中轴线布局;坐北朝南;十字形券洞;面阔五间进深三间,石材类;砖瓦类
274,万里长城－九门口,桥梁,南北朝,1381,14世纪,14,辽宁省,辽宁省绥中县、河北省抚宁县,0.92,跨河城桥;梭形桥墩;边台;围城;敌楼,方石;巨型木门,军事防御体系;泄洪通道;关隘防御,石砌河床;券门结构;双层木门安装,南北走向;纵深布局;关城组合;烽火台配置,木材类;石材类
275,䌽衣堂,民居,明,1368,14世纪,14,江苏省,江苏省常熟市,0.85,五架梁;前后廊;九椽屋;硬山顶,木材;砖;石材,主厅;孝道文化空间,苏式彩绘;梁柱彩绘,主轴线第三进;三间面阔,木材类;石材类;砖瓦类
276,诸葛、长乐村民居,民居,宋,1270,13世纪,13,浙江省,浙江省兰溪市,0.85,木构架;穿斗式,青砖;木材;马头墙,宗祠;住宅;厅堂,雕花门窗;天井院落,九宫八卦阵,木材类;砖瓦类
280,老屋阁及绿绕亭,民居,元,1328,14世纪,14,安徽省,安徽省黄山市,0.96,砖木结构;分心三柱;卷杀;宋法式做法,砖;木材,楼上厅;过街亭;飞来椅,卷杀;柱有收分;侧脚;插栱,口字形四合院;5间3进;人字形山墙;不对称布局,木材类;砖瓦类
284,归德府城墙,官府,明,1503,16世纪,16,河南省,河南省商丘县,0.95,砖城墙;土城墙;瓮城;敌台;角楼,生土;砖石,防御体系;三位一体防御,维修加固;城墙修缮,四门八开;瓮城布局;城湖格局,土类;石材类;砖瓦类
289,许驸马府,民居,宋,1064,11世纪,11,广东省,广东省潮州市,0.98,驷马拖车;工字格局;三进五开间,青砖;木构架;灰瓦屋面,私府;宋代建筑遗存,抬梁式构架;穿斗式构架;潮州传统砌筑,三进五开间;火巷;天井院落;围屋布局,木材类;砖瓦类
291,莫土司衙署,官府,明,1582,16世纪,16,广西壮族自治区,广西壮族自治区忻城县,0.99,砖木结构,砖;木材,衙署;府第,抬梁式;穿斗式;榫卯结构,中轴对称;围院结构;坐南朝北,木材类;砖瓦类
292,靖江王府及王陵,宫殿,明,1372,14世纪,14,广西壮族自治区,广西壮族自治区桂林市,0.98,夯土城墙;外包条石;城砖包砌;四门对称;中轴线布局,夯土;条石;城砖;石材,王府;贡院;御苑;寝宫;行政驻地,传统夯筑;石作工艺,前朝后寝;中轴对称;围山布局;多进建筑;附属院落群,土类;石材类;砖瓦类
293,丘浚故居及墓,民居,明,1369,14世纪,14,海南省,海南省琼山市、海口市,0.95,单檐硬山式;简板布瓦顶,黄棱木;石,藏书,木构架;石雕,三进院落;面阔三间;神道;石象生;石牌坊,木材类;石材类
308,盂城驿,官府,明,1375,14世纪,14,江苏省,江苏省高邮市,0.99,抬梁式;木构架,红木;砖石,接官厅;驿丞宅;马神庙;驿卒舍,传统木作;明代营造法,围院结构;坐北朝南;多进院落,木材类;石材类;砖瓦类
309,玉海楼,民居,清,1888,19世纪,19,浙江省,浙江省瑞安市,0.99,重檐结构;木制结构;回廊连接,木材;砖,藏书楼;民居;私家园林,传统木构架;砖筑台门;仿木牌楼式,三轴并联;前后两进;天井回廊;坐北朝南,木材类;砖瓦类
310,二宜楼,民居,清,1740,18世纪,18,福建省,福建省华安县,0.98,单元式围楼;双环圆形土楼;垂直单元结构,生土;红壤;杉木条;糯米粉汤;火烧瓦,居防合一;四代同堂;仓储防御,夯土技艺;整墙倾斜干固法;土楼营造技艺,垂直单元布局;双环结构;分层功能布局,土类;木材类;砖瓦类
311,魏氏庄园,民居,清,1865,19世纪,19,山东省,山东省惠民县,0.98,砖木结构;抬梁式,青砖;木材;灰瓦,民居;防御性住宅,雕花门窗;硬山顶,三堂并列;院落组合;轴线布局;组团式布局,木材类;砖瓦类
312,丁氏故宅,民居,清,1736,18世纪,18,山东省,山东省龙口市,0.92,砖木结构;硬山顶;砖石木结构;北方硬山式,青瓦;花岗岩;糯米灰浆;白石灰,宅第;博物馆;营房;学校,隔扇门窗;雕梁画栋;糯米灰浆砌筑,中轴对称布局;四合院落;五进院落;四路堂院;私家园林,灰浆胶结类;石材类;砖瓦类
315,内乡县衙,官府,元,1304,14世纪,14,河南省,河南省内乡县,0.98,单檐硬山;面阔五间;飞椽;中轴线布局,木材;砖石,政务活动场所;审案空间;办公起居;监狱;狱神庙,清代官式营造;南北风格融合;礼制规制施工,坐北朝南;前朝后寝;左文右武;狱房居南;五门制度,木材类;石材类;砖瓦类
318,满堂围,民居,清,1833,19世纪,19,广东省,广东省始兴县,0.95,方围;围楼;四合院式布局;城堡式结构,砖瓦;砖石,民俗研究载体;古建筑研究实物;客家文化展示空间,客家四角楼工艺;传统砌筑技艺,三围单元组合;围院结构;北方城堡与四合院融合布局,石材类;砖瓦类
322,夕佳山民居,民居,明,1612,17世纪,17,四川省,四川省江安县,0.98,穿斗式;悬山顶,木材;青瓦;石材,民居;旅游景区,穿斗构架;木构榫卯;台基砌筑,四合院式;三进院落;中轴对称;多天井,木材类;石材类;砖瓦类
326,伊犁将军府,官府,清,1762,18世纪,18,新疆维吾尔自治区,新疆维吾尔自治区伊宁市,0.96,抬梁式;硬山顶;歇山顶,土坯;青瓦,衙署;金库;粮仓;文庙,抬梁式结构;落架维修,中轴对称;三重门院;四合院;坐北朝南,土类;砖瓦类
328,可园,民居,清,1850,19世纪,19,北京市,北京市东城区,0.95,木构架;抬梁式,青砖;木材;灰塑,住宅;庭院;书斋;博物馆;文物展示,岭南灰塑;砖雕;木雕,亭台楼阁;山水桥榭;厅堂轩院;高低错落;曲折回环,木材类;砖瓦类
329,孚王府,宫殿,清,1730,18世纪,18,北京市,北京市朝阳区,0.98,中轴对称;三路布局;前庭后寝;银安殿制,青砖灰瓦;木构架;硬山顶,居住区;府库;执事住所;厨厩,抬梁式;斗拱结构;榫卯连接,三路院落;坐北朝南;中轴线布局;后罩楼庭院,木材类;砖瓦类
330,景山,宫殿,金,1179,12世纪,12,北京市,北京市西城区,0.85,土山结构;亭台殿阁组合,生土;渣土,皇家园林;习射场所;祭祖空间;官学场所,堆筑法;土山营造,中轴对称;制高点布局;殿宇移建,土类
343,鸡鸣驿城,官府,辽,1368,14世纪,14,河北省,河北省怀来县,0.6,夯土城墙;木构架,青砖;灰瓦;夯土,驿站;驿城,夯筑;砖砌,贺家大院;明清古建筑群;围院结构,土类;砖瓦类
345,定州贡院,官府,清,1738,18世纪,18,河北省,河北省定州市,0.99,半四角攒尖顶;楼阁式;面阔七间;进深九间,石碑,科举考场;考生应试场所;考官办公居住,攒尖顶营造;中轴对称营造;木构架施工,中轴式布局;坐北朝南;影壁起点;方形平面,石材类
353,腰山王氏庄园,民居,清,1647,17世纪,17,河北省,河北省顺平县,0.98,四合院;三进院落;贯通式院落,石材;青砖;木材,将军府邸;豪门宅第;清代官宅,石雕;砖雕;木雕,四合院群;三进四合院;轴线对称布局;南园北堂格局,木材类;石材类;砖瓦类
357,大同九龙壁,宫殿,明,1392,14世纪,14,山西省,山西省大同市,0.95,须弥座;壁顶;壁体,琉璃;灰砖,照壁;装饰性临街建筑;彰显地位,浮雕;琉璃烧制;构图严谨,对称布局;临街设置,砖瓦类
367,边靖楼,官府,明,1374,14世纪,14,山西省,山西省代县,0.99,砖木结构;四檐歇山顶;重檐楼阁;回廊结构;平坐层,砖;木材;石券,军事瞭望;指挥作战;制高点防御,斗栱;五踩重翘;五踩重昂;六架椽屋;重叠柱网,坐北朝南;台基楼身组合;面阔七间;进深五间;上楼马道,木材类;石材类;砖瓦类
388,临晋县衙,官府,元,1297,13世纪,13,山西省,山西省临猗县,0.94,单檐硬山顶;面阔五间;进深六椽;进深三间,木构架;青砖墙体;灰瓦屋面,县级行政机构;理政场所;衙署建筑,抬梁式构架;斗栱铺作;榫卯结构,坐北朝南;中轴对称;三堂序列,木材类;砖瓦类
394,乔家大院,民居,清,1756,18世纪,18,山西省,山西省祁县,0.98,城堡式建筑群;悬山顶;硬山顶;歇山顶;卷棚顶,黄椽木;砖石;木材,防御性住宅;民俗博物馆;封闭式院落,清代北方民居风格;中西合璧营造法;多样化门窗结构,囍字形布局;四合院;穿心院;偏正套院;过庭院,木材类;石材类;砖瓦类
412,和硕恪靖公主府,官府,清,1697,17世纪,17,内蒙古自治区,内蒙古自治区呼和浩特市,0.95,硬山式;卷棚式;大木架结构,汉白玉;木材,公主府邸;博物馆,传统礼制营造;中轴对称施工,中轴对称布局;四进院落;东西厢房,木材类
415,徐霞客故居及晴山堂石刻,民居,明,1368,14世纪,14,江苏省,江苏省江阴市,0.9,三进院落;抬梁式,砖雕;砖石,纪念性建筑;陈列展示;孝亲庆贺,明式砖雕;镌刻工艺,三进院落;坐北朝南;厢房对称,石材类;砖瓦类
416,退思园,民居,清,1885,19世纪,19,江苏省,江苏省苏州市,0.98,木构架;抬梁式;穿斗式,砖石;木材,待客;居住;宴客,环水布局;紧凑布局;亭廊结合,横向布局;回廊围合;住宅-庭院-花园序列,木材类;石材类;砖瓦类
417,宝带桥,桥梁,唐,816,9世纪,9,江苏省,江苏省苏州市,0.98,联拱石桥;多孔石桥;连拱石桥,石材;石砌,纤道桥;交通桥,干砌法;拱券砌筑;石构榫卯,南北向布局;跨河布局;平行运河布局,石材类
418,耦园,民居,清,1723,18世纪,18,江苏省,江苏省苏州市,0.95,重楼连接;四进厅堂;两两呼应,黄石;湖石;假山石,书斋;藏书楼;住宅园林,黄石叠山;湖石理水;对景借景,中轴对称;东西对偶;山主池辅;三段式布局,石材类
420,水绘园,民居,明,1573,16世纪,16,江苏省,江苏省如皋市,0.85,画舫式;二层楼阁,木材;砖石,客座;暖阁,传统木构;榫卯结构,临水布局;画舫式布局;池畔建筑,木材类;石材类;砖瓦类
421,古月桥,桥梁,宋,1213,13世纪,13,浙江省,浙江省义乌市,0.99,单拱折边形石拱桥;五边形拱;纵联分节并列砌置,条石;横锁石,交通桥梁;跨河通道,纵联分节并列砌置法;横锁石承接,单跨拱桥;引桥对称布局,石材类
422,黄山八面厅,民居,清,1796,18世纪,18,浙江省,浙江省义乌市,0.98,中轴对称;横纵轴线布局,木材;砖石;木雕,八厅七井;前园后宅,木雕;砖雕;石雕,中轴线布局;三合院;前园后宅,木材类;石材类;砖瓦类
428,如龙桥,桥梁,明,1625,17世纪,17,浙江省,浙江省庆元县,0.65,木拱廊桥;单孔木拱;廊屋结构,木材;木构,交通通行;休憩遮蔽;亭台楼阁复合功能,宋代遗风;木拱架设技艺,九间廊屋;南北走向;横跨溪流,木材类
431,文澜阁,官府,清,1782,18世纪,18,浙江省,浙江省杭州市,0.98,重檐歇山顶;六开间;夹层结构;仿天一阁式,砖石;木材;奇石,藏书阁;四库全书贮藏;图书馆前身,传统江南营造法;庭院叠山技艺,三进院落;江南庭院式布局;池阁相映格局;轴线对称布局;仿天一阁布局,木材类;石材类;砖瓦类
433,八字桥,桥梁,宋,1131,12世纪,12,浙江省,浙江省绍兴市,0.75,梁桥;石拱桥,石材;砖石,古桥;交通设施,干砌石工;榫卯石构,八字形布局;多向引桥,石材类;砖瓦类
434,吕府,官府,明,1554,16世纪,16,浙江省,浙江省绍兴市,0.95,硬山式,木材;青砖;石材,府邸,彩绘,纵轴横轴布局;十三院落;吕府十三厅,木材类;石材类;砖瓦类
436,台州府城墙,官府,东晋,317,4世纪,4,浙江省,浙江省临海市,0.95,马面;瓮城;弧形马面;依山就势布局,砖石;糯米灰浆,军事防御;防洪堤;城门防洪,砖石包砌;弧形马面工艺;天窗结构;捍城护城技术,子母双城;棋盘式街巷;两山两水格局;不规则城池轮廓,灰浆胶结类;石材类;砖瓦类
440,绮园,民居,清,1870,19世纪,19,浙江省,浙江省海盐县,0.98,硬山顶;九檩;堂楼;三乐堂,砖雕;青砖,住宅;园林;疗养院;公共公园,水随山转，山因水活;三山夹两池;自然山水造园;苏扬杭融合风格,三山夹两水;南北两区;九曲桥;潭影轩;绮园十景,砖瓦类
441,斯氏古民居建筑群,民居,唐,1644,17世纪,17,浙江省,浙江省诸暨市,0.75,木构架;穿斗式,青砖;木材;石材,聚族而居;宗族建筑,江南民居建筑技术;生态营造,围院结构;合院组合;轴线对称,木材类;石材类;砖瓦类
449,程氏三宅,民居,元,1368,14世纪,14,安徽省,安徽省黄山市,0.85,穿斗式;砖木结构,砖;木材,民居,木雕;砖雕;石雕,一脊两堂;三合院;天井;五开间,木材类;砖瓦类
452,宏村古建筑群,民居,宋,1131,12世纪,12,安徽省,安徽省黟县,0.99,天井院落;回廊式;二进院落,木材;砖雕;石雕,住宅;宗祠;书院;私家园林,木雕;砖雕;石雕,牛形布局;水街巷;月沼中心布局,木材类;石材类;砖瓦类
453,西递村古建筑群,民居,宋,1086,11世纪,11,安徽省,安徽省黟县,0.95,穿斗式;抬梁式;徽派木构架,青石;木材;砖石,古民居;祠堂;公共建筑,木雕;石雕;砖雕;石雕漏窗,主道贯穿东西;街巷沿溪而设;窄巷纵横;小广场前置,木材类;石材类;砖瓦类
457,安贞堡,民居,清,1885,19世纪,19,福建省,福建省永安市,0.98,夯土墙;跑马道;碉楼;悬山式顶;歇山式顶,石料;生土;松木;楠木,防御功能;谷仓;会客厅;贮藏间,木雕;彩绘;泥塑;壁画;浮雕,三进院落;围院结构;天井布局;依山就势,土类;木材类;石材类
459,蔡氏古民居建筑群,民居,清,1855,19世纪,19,福建省,福建省南安市,0.95,穿斗式;硬山屋顶;卷棚式屋顶,花岗岩;石材,交通通道;晒谷场;休憩空间,传统木构营造;石路铺筑,多进院落;护厝布局;厢房对称;独立连通,石材类
464,江东桥,桥梁,宋,1190,12世纪,12,福建省,福建省漳州市,0.98,石梁桥;桥墩结构;巨石桥面,石材;石墩;巨石,交通枢纽;军事要冲;三省通衢,巨石吊装技术;石桥营造法,跨水道布局;国道桥梁选址,石材类
465,赵家堡—诒安堡,民居,明,1600,16世纪,16,福建省,福建省漳浦县,0.98,内外双城结构;完璧楼;瓮城;防御性城墙,石刻;砖石;仿宋建材,防御性居城;宗族聚居;陈列展示,仿汴京营造法;传统城池建造技艺,三重规制布局;仿汴京格局;官厅群布局;园林式布局,石材类;砖瓦类
466,流坑村古建筑群,民居,五代十国,937,10世纪,10,江西省,江西省乐安县,0.95,穿斗式木构架;抬梁式结构,青砖;木材;石材,赣派建筑;历史文化载体;民俗展示空间,雕花门窗;天井院落营造;马头墙砌筑,依山傍水;沿江布局;村落环山,木材类;石材类;砖瓦类
467,关西新围、燕翼围,民居,清,1644,17世纪,17,江西省,江西省龙南县,0.75,围院结构;高墙厚壁;敌楼;枪眼望孔,生土;砖石,住宅;祠堂;书院;防御城堡,夯土技术;糯米灰浆,坐西南朝东北;近正方形平面;多进院落,土类;石材类;砖瓦类
469,临清运河钞关,官府,明,1429,15世纪,15,山东省,山东省临清市,0.98,木构架;抬梁式,青砖;灰瓦;木材,钞关;榷税机构;漕运税收衙署,传统官式营造;榫卯结构,三进院落;围院结构;南北穿厅;跨院布局,木材类;砖瓦类
472,康百万庄园,民居,明,1773,18世纪,18,河南省,河南省巩义市,0.95,窑洞;四合院;堡垒式建筑;楼房与寨墙结合,黄土;砖石;木材,自给自足综合体;多功能集成;小社会化空间;仓储与生产兼备,砖雕;木雕;石雕;天人合一选址,多区并置;主宅居中;院落组合;功能分区明确,土类;木材类;石材类;砖瓦类
476,小商桥,桥梁,隋,584,6世纪,6,河南省,河南省临颍县,0.99,单拱敞肩;坦拱敞肩石桥;并列砌筑拱券;腰铁加固,红砂岩,跨河桥梁;交通通道,并列砌筑法;腰铁连接;咬铁连接;石刻装饰,南北走向;单主拱双小拱;对称敞肩布局,其他材料
477,南阳知府衙门,官府,元,1271,13世纪,13,河南省,河南省南阳市,0.85,木构架;抬梁式,青砖;灰瓦;木材,官署;行政中心;知府衙门,重修;扩修;捐俸修葺,规制完备;中轴对称;院落式布局,木材类;砖瓦类
492,大水井古建筑群,民居,明,1846,19世纪,19,湖北省,湖北省利川市,0.85,抬梁式;穿斗式;四合院式,青花瓷片;木材;砖石,宗祠;宅院;祭祀空间,木雕;浮雕;楹联装饰,中轴对称;三进四厢;三路三进,木材类;石材类;砖瓦类
